model,brier_score,roc_auc,pr_auc
base_random_forest,0.1642150276545731,0.836676195220679,0.7412515295263888
sigmoid,0.16072881565593722,0.8369642771531145,0.7425128697020215
isotonic,0.15983056924872174,0.8368947094900127,0.7420768800736909
