target,threshold,positive_rate,mean_predicted_probability,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,true_negatives,false_positives,false_negatives,true_positives
flare_risk,0.55,0.1844943820224719,0.17877360071744797,0.8783520599250937,0.7525586995785671,0.5075111652456354,0.6062075654704171,0.9216149168435006,0.7220911140327839,0.08434190502348775,10476,411,1213,1250
dizziness_risk,0.25,0.30157303370786515,0.29705745630359653,0.6032209737827715,0.41592803280857255,0.7809239940387481,0.5427708243418213,0.7145445424133949,0.4883340774928933,0.186171803196924,4909,4415,882,3144
fatigue_risk,0.3,0.3743071161048689,0.36837503702181906,0.6281647940074906,0.5021075488568144,0.7866720032019211,0.6129736472789646,0.7157747300121964,0.5715929891457443,0.20348880049392806,4455,3898,1066,3931
fainting_risk,0.2,0.02404494382022472,0.02132734854892089,0.960374531835206,0.2815126050420168,0.4174454828660436,0.33626097867001253,0.9515817697831509,0.25985615310049814,0.01952222638834383,12687,342,187,134
need_to_hydrate,0.35,0.30292134831460676,0.2958727432567314,0.8119850187265918,0.652788844621514,0.8103363006923838,0.723080317740512,0.8926709749599452,0.7581718209808994,0.12247295490269369,7563,1743,767,3277
need_to_rest,0.35,0.3849438202247191,0.37910912313369205,0.7346067415730337,0.6141957641671437,0.8351819420120646,0.7078420054424013,0.8368947094900127,0.7420768800736909,0.15983056924872174,5515,2696,847,4292
