target,feature_set,number_of_features,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score
flare_risk,full,32,0.881498127340824,0.7501419647927314,0.5363377994315875,0.6254734848484849,0.9210503194127128,0.724656328158007,0.0846882330420308
flare_risk,same_day_only,6,0.8062172284644195,0.29605263157894735,0.03654080389768575,0.06505240332490062,0.6169381429523626,0.25411996918165713,0.15110102704952144
dizziness_risk,full,32,0.7108614232209738,0.5512345679012346,0.22180824639841032,0.316330145235565,0.7063832381455332,0.47894240455966497,0.18808576695796922
dizziness_risk,same_day_only,6,0.6859176029962547,0.3781021897810219,0.06433184302036761,0.1099554234769688,0.5512609826134417,0.3395032538609598,0.21438126258843113
fatigue_risk,full,32,0.6746816479400749,0.5888586956521739,0.4336601961176706,0.4994813875763513,0.7097563698041645,0.563812026288052,0.20542187016229713
fatigue_risk,same_day_only,6,0.608314606741573,0.42952612393681655,0.14148489093456074,0.21285563751317177,0.5227679885795717,0.3984566759489232,0.24131934665002083
fainting_risk,full,32,0.9758801498127341,0.0,0.0,0.0,0.9433645385838301,0.23997117981918048,0.019753493133583017
fainting_risk,same_day_only,6,0.9758801498127341,0.0,0.0,0.0,0.7744561676337163,0.05821297285779987,0.023741948397836037
need_to_hydrate,full,32,0.8129588014981274,0.7129094412331407,0.6404549950544016,0.674742738048717,0.8905634756343449,0.754886777736173,0.1240819084477736
need_to_hydrate,same_day_only,6,0.7349063670411985,0.590339892665474,0.40801186943620177,0.482526685187893,0.7845465939569102,0.5664898648586882,0.1684416221389929
need_to_rest,full,32,0.7534831460674157,0.6898110106820049,0.6534345203346955,0.6711302088538024,0.8340537751518621,0.7371653111756802,0.1618384327923429
need_to_rest,same_day_only,6,0.6219475655430712,0.5142768466790814,0.32243627164818056,0.39636407128333934,0.6150123272571887,0.4896229333675889,0.23266252850603414
