model,brier_score,roc_auc,pr_auc
base_random_forest,0.20702622061100487,0.7127625549756698,0.48634854887225526
sigmoid,0.186171803196924,0.7145445424133949,0.4883340774928933
isotonic,0.1862370469290367,0.7144342420981766,0.4888601438488569
