target,threshold,precision,recall,f1,roc_auc,pr_auc
flare_risk,0.1,0.3865971705137751,0.9919755445166221,0.5563651950278611,0.9415271739321991,0.7899055373487169
flare_risk,0.15,0.4225859247135843,0.9866259075277035,0.5917268247966082,0.9415271739321991,0.7899055373487169
flare_risk,0.2,0.45135087409500263,0.9766908674054261,0.6173913043478261,0.9415271739321991,0.7899055373487169
flare_risk,0.25,0.4805907971975005,0.9698127627053879,0.6426943530007597,0.9415271739321991,0.7899055373487169
flare_risk,0.3,0.5056726094003241,0.953763851738632,0.6609294320137694,0.9415271739321991,0.7899055373487169
flare_risk,0.35,0.5295390608093486,0.9350401222774168,0.6761536336004421,0.9415271739321991,0.7899055373487169
flare_risk,0.4,0.5571295866233164,0.9166985097439817,0.6930521450238336,0.9415271739321991,0.7899055373487169
flare_risk,0.45,0.5828358208955224,0.8952999617883072,0.7060418863944553,0.9415271739321991,0.7899055373487169
flare_risk,0.5,0.6108122646584185,0.8677875429881544,0.7169692186266772,0.9415271739321991,0.7899055373487169
flare_risk,0.55,0.6405652045922873,0.8314864348490638,0.7236448287329564,0.9415271739321991,0.7899055373487169
flare_risk,0.6,0.6694832629184271,0.7871608712265954,0.7235686687741483,0.9415271739321991,0.7899055373487169
flare_risk,0.65,0.7040965618141917,0.7355750859763087,0.719491683797421,0.9415271739321991,0.7899055373487169
flare_risk,0.7,0.7359832635983263,0.6721436759648453,0.7026163371280207,0.9415271739321991,0.7899055373487169
flare_risk,0.75,0.7747171667486473,0.6018341612533435,0.6774193548387096,0.9415271739321991,0.7899055373487169
flare_risk,0.8,0.8114803625377643,0.5131830340084066,0.6287453183520599,0.9415271739321991,0.7899055373487169
flare_risk,0.85,0.8487530168946098,0.40313335880779516,0.5466321243523317,0.9415271739321991,0.7899055373487169
flare_risk,0.9,0.8980099502487562,0.2758884218570883,0.4220988015200234,0.9415271739321991,0.7899055373487169
dizziness_risk,0.1,0.31502299437915177,0.9793486894360603,0.4767059733230234,0.7647031003848442,0.5300209048446622
dizziness_risk,0.15,0.3730380563319716,0.9187185597034684,0.5306216071565104,0.7647031003848442,0.5300209048446622
dizziness_risk,0.2,0.4133828045035824,0.8554408260524226,0.5574053308030709,0.7647031003848442,0.5300209048446622
dizziness_risk,0.25,0.44806944028733914,0.7926926131850676,0.5725212735443159,0.7647031003848442,0.5300209048446622
dizziness_risk,0.3,0.4691211401425178,0.7320624834524755,0.5718126357150243,0.7647031003848442,0.5300209048446622
dizziness_risk,0.35,0.4978970558782295,0.6581943341276145,0.5669327251995439,0.7647031003848442,0.5300209048446622
dizziness_risk,0.4,0.5228514654744163,0.5573206248345247,0.5395360758682558,0.7647031003848442,0.5300209048446622
dizziness_risk,0.45,0.5485555168813088,0.4172623775483188,0.47398496240601506,0.7647031003848442,0.5300209048446622
dizziness_risk,0.5,0.5931477516059958,0.29335451416468095,0.3925597874224978,0.7647031003848442,0.5300209048446622
dizziness_risk,0.55,0.6464730290456432,0.20624834524755098,0.3127258129265355,0.7647031003848442,0.5300209048446622
dizziness_risk,0.6,0.6673387096774194,0.08763568970082075,0.15492628130119354,0.7647031003848442,0.5300209048446622
dizziness_risk,0.65,0.64,0.004236166269526079,0.008416622830089426,0.7647031003848442,0.5300209048446622
dizziness_risk,0.7,0.0,0.0,0.0,0.7647031003848442,0.5300209048446622
dizziness_risk,0.75,0.0,0.0,0.0,0.7647031003848442,0.5300209048446622
dizziness_risk,0.8,0.0,0.0,0.0,0.7647031003848442,0.5300209048446622
dizziness_risk,0.85,0.0,0.0,0.0,0.7647031003848442,0.5300209048446622
dizziness_risk,0.9,0.0,0.0,0.0,0.7647031003848442,0.5300209048446622
fatigue_risk,0.1,0.35057211683227946,0.9991418150611456,0.5190303705767624,0.7531941252801367,0.5952886082260729
fatigue_risk,0.15,0.3951749310068548,0.9523707358935851,0.5585755631055744,0.7531941252801367,0.5952886082260729
fatigue_risk,0.2,0.45520473055896465,0.8753486376314096,0.5989430416911333,0.7531941252801367,0.5952886082260729
fatigue_risk,0.25,0.4910087998979722,0.826003003647286,0.6159014557670772,0.7531941252801367,0.5952886082260729
fatigue_risk,0.3,0.5211712358260371,0.7790173782450118,0.6245270037839697,0.7531941252801367,0.5952886082260729
fatigue_risk,0.35,0.5376209803309397,0.7388972323535722,0.6223908918406073,0.7531941252801367,0.5952886082260729
fatigue_risk,0.4,0.5587979850616641,0.6901952370735893,0.6175849491265119,0.7531941252801367,0.5952886082260729
fatigue_risk,0.45,0.5798922800718133,0.6236859043123794,0.6009923506305561,0.7531941252801367,0.5952886082260729
fatigue_risk,0.5,0.6029304029304029,0.529714653507831,0.5639561443581544,0.7531941252801367,0.5952886082260729
fatigue_risk,0.55,0.6377952755905512,0.38232139025960094,0.47806841046277665,0.7531941252801367,0.5952886082260729
fatigue_risk,0.6,0.671559633027523,0.2355717657155117,0.34879288437102923,0.7531941252801367,0.5952886082260729
fatigue_risk,0.65,0.7068366164542295,0.13087320317528428,0.22085445329471398,0.7531941252801367,0.5952886082260729
fatigue_risk,0.7,0.8048780487804879,0.014160051491096332,0.027830487033523088,0.7531941252801367,0.5952886082260729
fatigue_risk,0.75,0.6875,0.0023600085818493884,0.004703870002138123,0.7531941252801367,0.5952886082260729
fatigue_risk,0.8,0.6666666666666666,0.00042909246942716153,0.0008576329331046312,0.7531941252801367,0.5952886082260729
fatigue_risk,0.85,0.0,0.0,0.0,0.7531941252801367,0.5952886082260729
fatigue_risk,0.9,0.0,0.0,0.0,0.7531941252801367,0.5952886082260729
fainting_risk,0.1,0.25579854208084823,0.8427947598253275,0.3924758515505846,0.9530254367150948,0.3399253258632343
fainting_risk,0.15,0.3043867502238138,0.74235807860262,0.43174603174603177,0.9530254367150948,0.3399253258632343
fainting_risk,0.2,0.33640552995391704,0.6375545851528385,0.44042232277526394,0.9530254367150948,0.3399253258632343
fainting_risk,0.25,0.35646687697160884,0.49344978165938863,0.4139194139194139,0.9530254367150948,0.3399253258632343
fainting_risk,0.3,0.40672782874617736,0.2903930131004367,0.33885350318471336,0.9530254367150948,0.3399253258632343
fainting_risk,0.35,0.4,0.043668122270742356,0.07874015748031496,0.9530254367150948,0.3399253258632343
fainting_risk,0.4,0.3793103448275862,0.024017467248908297,0.045174537987679675,0.9530254367150948,0.3399253258632343
fainting_risk,0.45,0.3793103448275862,0.024017467248908297,0.045174537987679675,0.9530254367150948,0.3399253258632343
