repeat,seed,target,full_roc_auc,same_day_roc_auc,roc_auc_improvement,full_pr_auc,same_day_pr_auc,pr_auc_improvement,full_brier_score,same_day_brier_score,brier_difference,full_feature_count,same_day_feature_count
1,42,flare_risk,0.9210503194127128,0.6169381429523626,0.30411217646035016,0.724656328158007,0.25411996918165713,0.4705363589763498,0.0846882330420308,0.15110102704952144,-0.06641279400749064,32,6
1,42,dizziness_risk,0.7063832381455332,0.5512609826134417,0.15512225553209147,0.47894240455966497,0.3395032538609598,0.13943915069870516,0.18808576695796922,0.21438126258843113,-0.026295495630461907,32,6
1,42,fatigue_risk,0.7097563698041645,0.5227679885795717,0.18698838122459271,0.563812026288052,0.3984566759489232,0.16535535033912885,0.20542187016229713,0.24131934665002083,-0.035897476487723706,32,6
1,42,fainting_risk,0.9433645385838301,0.7744561676337163,0.1689083709501138,0.23997117981918048,0.05821297285779987,0.18175820696138062,0.019753493133583017,0.023741948397836037,-0.003988455264253021,32,6
1,42,need_to_hydrate,0.8905634756343449,0.7845465939569102,0.10601688167743473,0.754886777736173,0.5664898648586882,0.18839691287748472,0.1240819084477736,0.1684416221389929,-0.04435971369121931,32,6
1,42,need_to_rest,0.8340537751518621,0.6150123272571887,0.2190414478946734,0.7371653111756802,0.4896229333675889,0.2475423778080913,0.1618384327923429,0.23266252850603414,-0.07082409571369125,32,6
2,43,flare_risk,0.9303423678847283,0.649631917839876,0.2807104500448524,0.7121386851833937,0.2325577577592438,0.4795809274241499,0.07075158135663753,0.12685369205160216,-0.056102110694964624,32,6
2,43,dizziness_risk,0.7231055890939138,0.5577660350145521,0.16533955407936163,0.46718419006645157,0.3117263740703538,0.15545781599609776,0.17394012983770285,0.20233315855181025,-0.0283930287141074,32,6
2,43,fatigue_risk,0.7168145280819536,0.5394994102480473,0.1773151178339063,0.5386413776376688,0.37535765488219436,0.16328372275547448,0.195344100707449,0.22918536246358717,-0.03384126175613816,32,6
2,43,fainting_risk,0.9597559120864204,0.8190105965529695,0.14074531553345093,0.2731049429226794,0.06745459727740792,0.20565034564527146,0.015072921348314608,0.018605306699958385,-0.0035323853516437773,32,6
2,43,need_to_hydrate,0.9013748720057592,0.7936948733246912,0.10767999868106792,0.750310423556125,0.5436869763339696,0.20662344722215542,0.1073049038701623,0.1506435746982938,-0.04333867082813149,32,6
2,43,need_to_rest,0.8541748411337895,0.6378515135271076,0.21632332760668194,0.7288896232602831,0.4732705167516355,0.25561910650864755,0.14764342488555973,0.21739129671244276,-0.06974787182688302,32,6
3,44,flare_risk,0.9387326746861643,0.6575449345181293,0.28118774016803494,0.7703698981436915,0.2900525244506307,0.4803173736930608,0.07533613566375363,0.1430029463171036,-0.06766681065334998,32,6
